iter	Passed	Remaining
553	6473	5211
554	6485	5199
555	6494	5186
556	6507	5175
557	6518	5163
558	6526	5148
559	6538	5137
560	6550	5125
561	6558	5111
562	6571	5100
563	6583	5089
564	6591	5075
565	6605	5064
566	6617	5053
567	6626	5039
568	6637	5027
569	6648	5015
570	6658	5002
571	6669	4990
572	6680	4978
573	6689	4964
574	6700	4952
575	6710	4939
576	6720	4926
577	6731	4914
578	6739	4900
579	6751	4888
580	6760	4875
581	6770	4862
582	6782	4851
583	6791	4837
584	6801	4825
585	6811	4812
586	6820	4798
587	6830	4785
588	6838	4772
589	6849	4760
590	6861	4748
591	6871	4735
592	6889	4728
593	6901	4716
594	6912	4705
595	6921	4691
596	6932	4679
597	6943	4667
598	6952	4654
599	6963	4642
600	6971	4628
601	6983	4617
602	6993	4604
603	7003	4591
604	7015	4580
605	7026	4568
606	7034	4554
607	7045	4542
608	7053	4528
609	7064	4516
610	7076	4505
611	7084	4491
612	7095	4479
613	7107	4468
614	7116	4454
615	7126	4442
616	7135	4429
617	7147	4418
618	7159	4406
619	7168	4393
620	7181	4382
621	7192	4370
622	7202	4358
623	7214	4347
624	7225	4335
625	7235	4322
626	7248	4312
627	7259	4300
628	7267	4286
629	7279	4274
630	7289	4263
631	7298	4249
632	7311	4238
633	7322	4227
634	7331	4213
635	7341	4201
636	7350	4188
637	7361	4176
638	7371	4164
639	7380	4151
640	7390	4139
641	7399	4126
642	7412	4115
643	7423	4103
644	7432	4090
645	7445	4079
646	7456	4068
647	7465	4055
648	7479	4045
649	7495	4035
650	7510	4026
651	7525	4016
652	7538	4005
653	7549	3993
654	7561	3982
655	7576	3973
656	7592	3964
657	7607	3953
658	7620	3943
659	7634	3933
660	7645	3921
661	7661	3911
662	7677	3902
663	7691	3891
664	7703	3880
665	7712	3867
666	7725	3856
667	7739	3846
668	7752	3835
669	7765	3824
670	7775	3812
671	7790	3802
672	7806	3793
673	7819	3782
674	7834	3772
675	7844	3759
676	7857	3748
677	7871	3738
678	7883	3727
679	7897	3716
680	7906	3703
681	7917	3691
682	7926	3678
683	7938	3667
684	7950	3655
685	7958	3642
686	7970	3631
687	7981	3619
688	7989	3606
689	8000	3594
690	8008	3581
691	8020	3569
692	8032	3558
693	8041	3545
694	8052	3533
695	8065	3522
696	8074	3509
697	8084	3497
698	8096	3486
699	8104	3473
700	8115	3461
701	8124	3448
702	8135	3437
703	8146	3425
704	8155	3412
705	8167	3401
706	8179	3389
707	8190	3377
708	8202	3366
709	8213	3354
710	8221	3341
711	8233	3330
712	8245	3318
713	8253	3306
714	8264	3294
715	8274	3282
716	8283	3269
717	8295	3258
718	8304	3245
719	8315	3233
720	8326	3222
721	8335	3209
722	8344	3197
723	8353	3184
724	8364	3172
725	8374	3160
726	8383	3148
727	8395	3136
728	8403	3124
729	8415	3112
730	8426	3100
731	8434	3088
732	8445	3076
733	8455	3064
734	8469	3053
735	8482	3042
736	8494	3031
737	8505	3019
738	8515	3007
739	8527	2996
740	8536	2983
741	8546	2971
742	8557	2960
743	8566	2947
744	8578	2936
745	8590	2924
746	8600	2912
747	8611	2901
748	8623	2890
749	8632	2877
750	8644	2866
751	8655	2854
752	8664	2842
753	8677	2831
754	8689	2819
755	8698	2807
756	8710	2796
757	8723	2785
758	8732	2772
759	8744	2761
760	8755	2749
761	8765	2737
762	8777	2726
763	8789	2715
764	8798	2702
765	8810	2691
766	8822	2680
767	8831	2667
768	8843	2656
769	8864	2647
770	8876	2636
771	8888	2624
772	8896	2612
773	8911	2602
774	8923	2590
775	8933	2578
776	8943	2566
777	8955	2555
778	8966	2543
779	8976	2531
780	8987	2520
781	8996	2507
782	9008	2496
783	9020	2485
784	9028	2472
785	9040	2461
786	9051	2449
787	9060	2437
788	9071	2426
789	9083	2414
790	9091	2402
791	9103	2390
792	9111	2378
793	9124	2367
794	9135	2355
795	9144	2343
796	9156	2332
797	9168	2320
798	9180	2309
799	9189	2297
800	9199	2285
801	9208	2273
802	9219	2261
803	9229	2250
804	9239	2238
805	9249	2226
806	9259	2214
807	9271	2203
808	9282	2191
809	9291	2179
810	9302	2167
811	9313	2156
812	9322	2144
813	9333	2132
814	9345	2121
815	9355	2109
816	9367	2098
817	9379	2086
818	9391	2075
819	9415	2066
820	9449	2060
821	9473	2051
822	9489	2040
823	9514	2032
824	9528	2021
825	9538	2009
826	9551	1998
827	9564	1986
828	9573	1974
829	9585	1963
830	9598	1952
831	9607	1940
832	9619	1928
833	9630	1916
834	9639	1904
835	9650	1893
836	9664	1882
837	9675	1870
838	9686	1858
839	9699	1847
840	9710	1835
841	9720	1824
842	9733	1812
843	9745	1801
844	9757	1789
845	9767	1777
846	9780	1766
847	9792	1755
848	9802	1743
849	9814	1732
850	9826	1720
851	9834	1708
852	9846	1696
853	9859	1685
854	9868	1673
855	9880	1662
856	9892	1650
857	9901	1638
858	9912	1627
859	9924	1615
860	9934	1603
861	9946	1592
862	9959	1581
863	9972	1569
864	9983	1558
865	9995	1546
866	10008	1535
867	10020	1523
868	10032	1512
869	10046	1501
870	10060	1490
871	10073	1478
872	10087	1467
873	10098	1455
874	10111	1444
875	10127	1433
876	10140	1422
877	10154	1411
878	10168	1399
879	10178	1388
880	10191	1376
881	10203	1365
882	10213	1353
883	10227	1342
884	10240	1330
885	10254	1319
886	10264	1307
887	10276	1296
888	10290	1284
889	10303	1273
890	10313	1261
891	10327	1250
892	10338	1238
893	10351	1227
894	10359	1215
895	10371	1203
896	10383	1192
897	10393	1180
898	10406	1169
899	10418	1157
900	10428	1145
901	10441	1134
902	10455	1123
903	10468	1111
904	10478	1099
905	10491	1088
906	10502	1076
907	10515	1065
908	10525	1053
909	10538	1042
910	10552	1030
911	10563	1019
912	10575	1007
913	10589	996
914	10602	984
915	10615	973
916	10625	961
917	10637	950
918	10649	938
919	10659	926
920	10672	915
921	10684	903
922	10699	892
923	10709	880
924	10722	869
925	10735	857
926	10748	846
927	10758	834
928	10771	823
929	10785	811
930	10798	800
931	10808	788
932	10821	777
933	10834	765
934	10847	754
935	10857	742
936	10872	731
937	10885	719
938	10898	708
939	10911	696
940	10921	684
941	10936	673
942	10960	662
943	10971	650
944	10986	639
945	11000	627
946	11013	616
947	11023	604
948	11034	593
949	11047	581
950	11060	569
951	11070	558
952	11084	546
953	11098	535
954	11113	523
955	11126	512
956	11137	500
957	11152	488
958	11165	477
959	11177	465
960	11189	454
961	11200	442
962	11214	430
963	11226	419
964	11239	407
965	11249	395
966	11265	384
967	11279	372
968	11291	361
969	11301	349
970	11315	337
971	11327	326
972	11342	314
973	11355	303
974	11366	291
975	11379	279
976	11391	268
977	11404	256
978	11414	244
979	11429	233
980	11442	221
981	11457	210
982	11470	198
983	11481	186
984	11495	175
985	11508	163
986	11520	151
987	11531	140
988	11544	128
989	11557	116
990	11572	105
991	11589	93
992	11604	81
993	11615	70
994	11629	58
995	11644	46
996	11659	35
997	11675	23
998	11689	11
999	11704	0
